"","sampleCode","sampleCode.y","speciesCode","Plot.x","binomial","family","genus","plot_Binomial","Plot.y","Binomial","Abundance","MW","nAtom","naAromAtom","nAtomLC","nAtomP","nB","nAromBond","nRotB","XLogP","ALogP","MLogP","TopoPSA","tpsaEfficiency","HybRatio","Fsp3","FMF","ECCEN","WPATH","WPOL","nHBDon","nHBAcc"
"PP_Tapuri_45_Cinchona calisaya","MDP0603","MDP0603.mzXML","cin1cal","PP_Tapuri_45","Cinchona calisaya","Rubiaceae","Cinchona","PP_Tapuri_45_Cinchona calisaya","PP_Tapuri_45","Cinchona calisaya",3,353.360190132166,46.2735097328304,10.7341352322668,3.21245789469233,11.4933691098609,28.6549464181673,11.4112479732483,2.95523836033672,2.49391045808679,2.36128031472167,2.86471000891932,93.3546208639799,0.271399795664926,0.346527284520847,0.346205480142784,0.40714365975268,537.460887985414,1730.59618164878,46.8801420281116,2.77675302689543,4.86370833864119
"PP_Tapuri_45_Prunus integrifolia","MDP0625","MDP0625.mzXML","pru2int","PP_Tapuri_45","Prunus integrifolia","Rosaceae","Prunus","PP_Tapuri_45_Prunus integrifolia","PP_Tapuri_45","Prunus integrifolia",13,355.055572332546,47.1326717568152,9.1685491146903,4.3396964448641,11.9404649234764,27.5407064962451,9.49676325917187,4.36642038523905,3.67963491336973,3.2265048447912,2.91785590486914,108.957291214998,0.311966696503527,0.282877160504656,0.282564843542064,0.387911691943483,568.608886420302,2070.52519055266,44.6130294721482,3.28234981396823,5.35066857010652
"PP_Tapuri_45_Ocotea comata","MDP0620","MDP0620.mzXML","ococom","PP_Tapuri_45","Ocotea comata","Lauraceae","Ocotea","PP_Tapuri_45_Ocotea comata","PP_Tapuri_45","Ocotea comata",55,373.28032377013,48.3451451080443,11.8258457859406,3.64106563330526,13.9290363356311,29.0851058277546,12.2038378232719,5.01334402018675,3.1755634273767,3.11386593649481,2.90454096506986,107.785865169792,0.298783273656766,0.296149882140123,0.295556475260119,0.369534160971564,610.163728524114,2270.89309198272,46.2992373488559,3.02087388256879,4.92417567630126
"PP_Tapuri_45_Ternstroemia AF-14004","MDP0629","MDP0629.mzXML","ter2AF14004","PP_Tapuri_45","Ternstroemia AF-14004","Pentaphylacaceae","Ternstroemia","PP_Tapuri_45_Ternstroemia AF-14004",NA,NA,3,393.942261509632,53.3513306672055,11.20745516403,4.02822042400311,12.9575404789003,30.7753883133801,11.6416384689757,4.87811440579736,4.28510931226975,3.49849795039497,3.05629421013565,119.996611999427,0.313424775612913,0.355540436230225,0.355148697576509,0.377068823761093,658.778090267119,2504.71400649402,51.2767555782629,4.15175214754021,5.83781732801448
"PP_Tapuri_45_Ocotea LC-3806","MDP0622","MDP0622.mzXML","ocoLC3806","PP_Tapuri_45","Ocotea LC-3806","Lauraceae","Ocotea","PP_Tapuri_45_Ocotea LC-3806",NA,NA,1,334.333844460936,45.7566707180861,12.0191885035886,2.1583815475601,14.8267372778518,27.6779035905829,12.0870863379901,2.77444947884673,2.7475581574207,3.21831598100341,3.04097262277835,54.4686815866465,0.164211613779992,0.371980574486886,0.371803033913033,0.401778318619649,432.563762640821,1296.3040976703,47.0526928634312,1.1063106989531,2.0004710302502
"PP_Tapuri_45_Clusia ducu","MDP0605","MDP0605.mzXML","cluduc","PP_Tapuri_45","Clusia ducu","Clusiaceae","Clusia","PP_Tapuri_45_Clusia ducu","PP_Tapuri_45","Clusia ducu",2,483.193260395098,63.5283347604992,13.2044733338323,3.54365101904799,15.1785218442859,37.7351864294451,13.6490853345557,5.73783619217097,3.78974097841756,3.08406587636058,3.30669364316647,155.355975607287,0.321617562784798,0.361439850798033,0.361364017132018,0.366942622772123,859.67705473281,3878.61350011726,64.9248369707784,5.44647430555132,8.05951985849688
"PP_Tapuri_45_Ocotea albida","MDP0618","MDP0618.mzXML","ocoalb1","PP_Tapuri_45","Ocotea albida","Lauraceae","Ocotea","PP_Tapuri_45_Ocotea albida","PP_Tapuri_45","Ocotea albida",1,396.992966354213,53.0274130858957,12.4318671480533,4.38341764368923,16.1236209983672,30.8492893866041,12.9363771233612,6.61003594742556,3.69428964365468,3.57393473464711,3.06921527929155,98.7956631047737,0.258317652784325,0.335863860777106,0.332770576170255,0.350469258174246,691.894506268564,2598.54988772143,48.1134887807516,2.09362526167952,4.44861535564983
"PP_Tapuri_45_Mollinedia repanda","MDP0614","MDP0614.mzXML","molrep","PP_Tapuri_45","Mollinedia repanda","Monimiaceae","Mollinedia","PP_Tapuri_45_Mollinedia repanda","PP_Tapuri_45","Mollinedia repanda",3,275.557352841395,41.7307749168727,5.39041760965896,3.66713949023635,8.48682671919968,21.2099988293039,5.51672754019874,2.9947226087557,3.28335652521397,3.42717177438012,2.91013576327565,55.2249691752147,0.18662222770638,0.500091760726417,0.497063748267282,0.290899514048554,345.333324611127,1067.33868287809,33.2561765424012,1.68351411432774,2.73006045481761
"PP_Tintay_24_Cordia ucayaliensis","MDP0016","MDP0016.mzXML","cor1uca","PP_Tintay_24","Cordia ucayaliensis","Cordiaceae","Cordia","PP_Tintay_24_Cordia ucayaliensis","PP_Tintay_24","Cordia ucayaliensis",1,295.504926243153,44.0717933359602,4.76504344937115,7.09355591121004,8.37701083678102,21.6046534852703,4.95210847120355,6.36136567160242,2.50548140452076,2.48273729835327,2.67441882421669,83.1087254710204,0.323645815329441,0.549687017235484,0.545368262610477,0.191366725491654,441.573492042594,1472.92973166783,32.1240189526767,2.4214444275937,4.19224760982057
"PP_Tintay_24_Casearia arborea","MDP0013","MDP0013.mzXML","casarb","PP_Tintay_24","Casearia arborea","Salicaceae","Casearia","PP_Tintay_24_Casearia arborea","PP_Tintay_24","Casearia arborea",2,391.657859473473,58.7431942953393,8.08468669850306,6.58967660832466,12.7208843245855,30.1979672654049,8.46218570680439,6.42431236499223,5.71765050461894,4.70931550730728,3.36568766898947,92.7069823153496,0.268609353138195,0.46899877118204,0.46899877118204,0.280984247350415,698.517197237688,2659.2679318141,50.9421996663018,2.90319920726596,4.64062520346606
"PP_Tintay_24_Byrsonima arthropoda","MDP0010","MDP0010.mzXML","byrart","PP_Tintay_24","Byrsonima arthropoda","Malpighiaceae","Byrsonima","PP_Tintay_24_Byrsonima arthropoda","PP_Tintay_24","Byrsonima arthropoda",1,395.243011791045,61.1471673811154,6.31169869661874,6.14538302372519,8.54920568449867,30.6103348482935,6.50612567372014,6.15293170719853,5.80673641635209,4.68629907533643,3.52133875571451,81.4924258268338,0.207331217796815,0.512635933517755,0.510572289715602,0.302803084641003,731.92681861329,2881.57526335243,51.9506011114333,2.39183300819054,4.51803398183804
"PP_Tintay_24_Abarema jupunba","MDP0001","MDP0001.mzXML","abajup","PP_Tintay_24","Abarema jupunba","Fabaceae","Abarema","PP_Tintay_24_Abarema jupunba","PP_Tintay_24","Abarema jupunba",1,299.58573244164,44.689730046375,4.56993479088639,7.89819539303913,8.85246172595606,21.7728673680765,4.71734915866959,7.12378008787977,1.76577095746179,2.1105662379277,2.56541073237955,95.1118643047773,0.355791145425758,0.551985881354304,0.54752844702829,0.169726241494075,473.124822563093,1595.35684708048,28.9493022381412,2.81446994302343,5.02789040939178
