"","filename","ATTRIBUTE_CollectionNumber","ATTRIBUTE_Family","ATTRIBUTE_Genus","ATTRIBUTE_Species","ATTRIBUTE_Genus_species","ATTRIBUTE_SpeciesCode","ATTRIBUTE_Latitude","ATTRIBUTE_Longitude"
"1926","MD01999.mzXML","LC-6066","Lauraceae","Ocotea","aciphylla","Ocotea_aciphylla","ocoaci",-14.1892,-68.3339
"1927","MD02000.mzXML","LC-5976","Erythroxylaceae","Erythroxylum","citrifolium","Erythroxylum_citrifolium","ery3cit",-14.1892,-68.3339
"1928","MD02001.mzXML","LC-5977","Phyllanthaceae","Amanoa","oblongifolia","Amanoa_oblongifolia","ama2obl",-14.1892,-68.3339
"1929","MD02002.mzXML","LC-6099","Melastomataceae","Miconia","splendens","Miconia_splendens","mic1spl",-14.1892,-68.3339
"1930","MD02003.mzXML","LC-5974","Aquifoliaceae","Ilex","petiolaris","Ilex_petiolaris","ilepet",-14.1892,-68.3339
"1931","MD02004.mzXML","LC-6104","Fabaceae","Diplotropis","peruviana","Diplotropis_peruviana","dip4per",-14.1892,-68.3339
"1932","MD02005.mzXML","LC-5986","Moraceae","Pseudolmedia","laevigata","Pseudolmedia_laevigata","pse2lae1",-14.1892,-68.3339
"1933","MD02006.mzXML","LC-6105","Rubiaceae","Ladenbergia","carua","Ladenbergia_carua","ladcar",-14.1892,-68.3339
"1934","MD02007.mzXML","LC-6106","Melastomataceae","Miconia","dolichorrhyncha","Miconia_dolichorrhyncha","mic1dol",-14.1892,-68.3339
"1935","MD02008.mzXML","LC-6115","Lauraceae","Nectandra","JCS-9565","Nectandra_JCS-9565","necJCS9565",-14.1892,-68.3339
"1936","MD02009.mzXML","LC-6116","Lauraceae","Ocotea","AEC-147","Ocotea_AEC-147","ocoAEC147",-14.1892,-68.3339
"1937","MD02010.mzXML","LC-5984","Podocarpaceae","Podocarpus","celatus","Podocarpus_celatus","podcel",-14.1892,-68.3339
"1938","MD02011.mzXML","LC-6120","Melastomataceae","Miconia","dolichorrhyncha","Miconia_dolichorrhyncha","mic1dol",-14.1892,-68.3339
"1939","MD02012.mzXML","LC-6121","Euphorbiaceae","Mabea","anadena","Mabea_anadena","mabana",-14.1892,-68.3339
"1940","MD02013.mzXML","LC-6023","Lauraceae","Ocotea","aciphylla","Ocotea_aciphylla","ocoaci",-14.1892,-68.3339
"1941","MD02014.mzXML","LC-6024","Euphorbiaceae","Mabea","macbridei","Mabea_macbridei","mabmac",-14.1892,-68.3339
"1942","MD02015.mzXML","LC-6037","Rubiaceae","Ladenbergia","oblongifolia","Ladenbergia_oblongifolia","ladobl",-14.1892,-68.3339
"1943","MD02016.mzXML","LC-6026","Euphorbiaceae","Mabea","anadena","Mabea_anadena","mabana",-14.1892,-68.3339
"1944","MD02017.mzXML","LC-6027","Rubiaceae","Elaeagia","mariae","Elaeagia_mariae","elamar",-14.1892,-68.3339
